SynId,NeuronType,NeuronId,SynType,UMAP_1,UMAP_2,Cluster,clusterid
12,parvalbumin,pv1,as,7.0692945,5.0044594,2,as
13,parvalbumin,pv1,as,7.60776,5.719348,2,as
14,parvalbumin,pv1,as,7.0429316,5.014945,2,as
16,parvalbumin,pv1,as,8.377766,6.215838,2,as
17,parvalbumin,pv1,as,7.0963707,6.2368646,2,as
18,parvalbumin,pv1,as,8.471766,9.152119,-1,as
19,parvalbumin,pv1,as,6.799236,5.220559,2,as
20,parvalbumin,pv1,as,7.567339,7.661129,-1,as
22,parvalbumin,pv1,as,7.2788424,6.881493,-1,as
23,parvalbumin,pv1,as,6.7242703,6.3683605,2,as
24,parvalbumin,pv1,as,7.280083,8.599465,4,as
25,parvalbumin,pv1,as,7.245519,8.791043,4,as
26,parvalbumin,pv1,as,7.1646667,8.352484,4,as
27,parvalbumin,pv1,as,6.28156,6.1503363,2,as
28,parvalbumin,pv1,as,7.079741,9.473229,4,as
29,parvalbumin,pv1,as,6.1210103,7.819906,4,as
30,parvalbumin,pv1,as,7.0217047,9.264623,4,as
31,parvalbumin,pv1,as,6.2165723,6.2266674,2,as
32,parvalbumin,pv1,as,5.994014,8.1496,4,as
33,parvalbumin,pv1,as,5.8691854,8.147537,4,as
34,parvalbumin,pv1,as,5.9352403,8.232801,4,as
35,parvalbumin,pv1,as,6.3798156,6.6353188,2,as
36,parvalbumin,pv1,as,6.5940886,7.653976,4,as
37,parvalbumin,pv1,as,6.151291,7.690507,-1,as
38,parvalbumin,pv1,as,6.567961,7.8841147,4,as
39,parvalbumin,pv1,as,6.5526657,5.389655,2,as
40,parvalbumin,pv1,as,6.333017,9.123257,4,as
41,parvalbumin,pv1,as,6.245378,9.181353,4,as
42,parvalbumin,pv1,as,6.1923647,9.54017,4,as
43,parvalbumin,pv1,as,6.4913707,5.4188976,2,as
44,parvalbumin,pv1,as,5.897237,9.4670315,4,as
45,parvalbumin,pv1,as,5.8253784,10.761993,4,as
46,parvalbumin,pv1,as,5.5751863,9.676026,4,as
47,parvalbumin,pv1,as,4.1700487,8.35278,3,as
1,parvalbumin,pv2,as,1.7611836,9.998525,3,as
2,parvalbumin,pv2,as,3.304117,9.600568,3,as
3,parvalbumin,pv2,as,2.9005218,10.142222,3,as
4,parvalbumin,pv2,as,3.2525368,9.821039,3,as
5,parvalbumin,pv2,as,2.7975783,10.223969,3,as
6,parvalbumin,pv2,as,3.4758441,8.594921,3,as
7,parvalbumin,pv2,as,3.4643276,9.846808,3,as
8,parvalbumin,pv2,as,3.762062,9.367602,3,as
9,parvalbumin,pv2,as,3.4768643,8.6071415,3,as
10,parvalbumin,pv2,as,3.585034,8.157687,3,as
11,parvalbumin,pv2,as,3.7844973,8.302926,3,as
12,parvalbumin,pv2,as,4.0872135,9.577187,3,as
13,parvalbumin,pv2,as,5.1740327,10.294181,-1,as
14,parvalbumin,pv2,as,4.092105,8.6269,3,as
15,parvalbumin,pv2,as,3.8920712,8.443993,3,as
16,parvalbumin,pv2,as,5.68891,10.400433,4,as
17,parvalbumin,pv2,as,5.7672668,9.701744,4,as
18,parvalbumin,pv2,as,5.8510795,10.908076,4,as
19,parvalbumin,pv2,as,5.2020397,9.827395,4,as
20,parvalbumin,pv2,as,5.9168777,10.4050665,4,as
21,parvalbumin,pv2,as,5.5321283,10.11959,4,as
22,parvalbumin,pv2,as,5.822415,11.024335,4,as
23,parvalbumin,pv2,as,5.501472,9.539521,4,as
24,parvalbumin,pv2,as,5.60422,11.013796,4,as
25,parvalbumin,pv2,as,5.6483827,11.094215,4,as
26,parvalbumin,pv2,as,5.7387304,11.051911,4,as
27,parvalbumin,pv2,as,5.788789,10.61991,4,as
28,parvalbumin,pv2,as,5.6887283,9.820901,4,as
29,parvalbumin,pv2,as,5.8484097,10.945982,4,as
30,parvalbumin,pv2,as,5.143664,9.424489,-1,as
31,parvalbumin,pv2,as,5.4463415,8.656964,4,as
32,parvalbumin,pv2,as,5.4414835,9.914369,4,as
33,parvalbumin,pv2,as,6.0014477,10.284946,4,as
34,parvalbumin,pv2,as,5.9976172,10.341054,4,as
35,parvalbumin,pv2,as,6.0521755,10.3115835,4,as
36,parvalbumin,pv2,as,6.0376854,10.266077,4,as
37,parvalbumin,pv2,as,6.1049004,10.310134,4,as
38,parvalbumin,pv2,as,6.3301764,10.634995,4,as
39,parvalbumin,pv2,as,5.57517,8.656405,4,as
40,parvalbumin,pv2,as,5.5615387,8.393272,4,as
41,parvalbumin,pv2,as,5.7352448,8.685536,4,as
42,parvalbumin,pv2,as,6.482542,10.416398,4,as
43,parvalbumin,pv2,as,6.6512423,8.997274,4,as
44,parvalbumin,pv2,as,5.738096,8.320553,4,as
45,parvalbumin,pv2,as,6.747419,10.3081875,4,as
46,parvalbumin,pv2,as,6.88276,10.090088,4,as
47,parvalbumin,pv2,as,6.701677,8.661546,4,as
48,parvalbumin,pv2,as,6.4469995,10.902438,4,as
49,parvalbumin,pv2,as,5.476136,8.13094,4,as
50,parvalbumin,pv2,as,7.0576267,9.743471,4,as
51,parvalbumin,pv2,as,7.30338,9.931397,4,as
52,parvalbumin,pv2,as,7.6133623,9.78275,4,as
53,parvalbumin,pv2,as,7.3709917,9.724467,4,as
54,parvalbumin,pv2,as,7.2096095,9.698969,4,as
55,parvalbumin,pv2,as,6.9458427,8.601722,4,as
56,parvalbumin,pv2,as,7.010961,10.314597,4,as
57,parvalbumin,pv2,as,7.187551,9.882401,4,as
58,parvalbumin,pv2,as,6.2240205,6.3018327,2,as
59,parvalbumin,pv2,as,7.5478044,9.592297,4,as
60,parvalbumin,pv2,as,7.4624825,8.851664,4,as
61,parvalbumin,pv2,as,7.421981,8.70548,4,as
62,parvalbumin,pv2,as,7.139052,8.506585,4,as
63,parvalbumin,pv2,as,7.2641134,8.499446,4,as
64,parvalbumin,pv2,as,7.3885427,8.379632,4,as
65,parvalbumin,pv2,as,7.5967236,9.519302,4,as
66,parvalbumin,pv2,as,7.5743184,9.738213,4,as
67,parvalbumin,pv2,as,7.515553,9.424828,4,as
68,parvalbumin,pv2,as,6.92789,8.870761,4,as
69,parvalbumin,pv2,as,6.2384286,6.463557,2,as
70,parvalbumin,pv2,as,7.2006745,10.083101,4,as
71,parvalbumin,pv2,as,7.0784955,8.43514,4,as
72,parvalbumin,pv2,as,6.792721,8.151925,4,as
73,parvalbumin,pv2,as,7.1377273,8.440339,4,as
74,parvalbumin,pv2,as,8.644998,8.079946,2,as
75,parvalbumin,pv2,as,7.0903215,7.700269,4,as
76,parvalbumin,pv2,as,8.828886,7.911261,2,as
77,parvalbumin,pv2,as,6.7504835,5.161919,2,as
78,parvalbumin,pv2,as,9.240399,7.838023,2,as
79,parvalbumin,pv2,as,6.979399,7.4317584,4,as
80,parvalbumin,pv2,as,9.164777,7.875107,2,as
81,parvalbumin,pv2,as,8.947921,7.769441,2,as
82,parvalbumin,pv2,as,7.343452,6.118888,2,as
83,parvalbumin,pv2,as,8.731822,7.4377775,2,as
84,parvalbumin,pv2,as,8.774186,7.5712824,2,as
85,parvalbumin,pv2,as,9.207551,7.767235,2,as
86,parvalbumin,pv2,as,9.034069,7.684559,2,as
88,parvalbumin,pv2,as,9.601223,7.225388,2,as
89,parvalbumin,pv2,as,9.751589,7.3337135,2,as
90,parvalbumin,pv2,as,9.366292,7.7476664,2,as
91,parvalbumin,pv2,as,9.3565855,7.740232,2,as
92,parvalbumin,pv2,as,9.0185585,7.4337378,2,as
93,parvalbumin,pv2,as,9.569516,7.358784,2,as
94,parvalbumin,pv2,as,10.106987,7.1098375,2,as
95,parvalbumin,pv2,as,9.699973,7.4271054,2,as
96,parvalbumin,pv2,as,9.458401,6.315143,2,as
97,parvalbumin,pv2,as,9.658586,7.08036,2,as
98,parvalbumin,pv2,as,10.148147,7.114083,2,as
99,parvalbumin,pv2,as,9.36981,6.515015,2,as
100,parvalbumin,pv2,as,9.905233,7.3102775,2,as
101,parvalbumin,pv2,as,9.618488,6.11334,2,as
102,parvalbumin,pv2,as,9.430166,6.447169,2,as
103,parvalbumin,pv2,as,9.399741,6.4476204,2,as
104,parvalbumin,pv2,as,10.061982,7.168813,2,as
105,parvalbumin,pv2,as,9.795665,6.0811677,2,as
106,parvalbumin,pv2,as,9.558035,5.5995374,2,as
107,parvalbumin,pv2,as,10.012383,5.812038,2,as
108,parvalbumin,pv2,as,9.750932,5.5580316,2,as
109,parvalbumin,pv2,as,9.732822,5.3802195,2,as
110,parvalbumin,pv2,as,10.239455,5.6892467,2,as
111,parvalbumin,pv2,as,9.888491,5.5178714,2,as
112,parvalbumin,pv2,as,9.391172,5.220112,2,as
113,parvalbumin,pv2,as,9.276687,5.091024,2,as
114,parvalbumin,pv2,as,9.270679,5.0643334,2,as
115,parvalbumin,pv2,as,10.93005,6.1219587,2,as
116,parvalbumin,pv2,as,10.801496,5.920251,2,as
117,parvalbumin,pv2,as,11.209391,6.3145247,2,as
118,parvalbumin,pv2,as,10.787953,5.949603,2,as
119,parvalbumin,pv2,as,9.26771,4.9508033,2,as
120,parvalbumin,pv2,as,11.3508005,6.156202,2,as
121,parvalbumin,pv2,as,10.2723465,5.6828146,2,as
122,parvalbumin,pv2,as,9.347612,5.1155167,2,as
123,parvalbumin,pv2,as,10.2361965,5.633953,2,as
124,parvalbumin,pv2,as,10.147803,5.6148353,2,as
125,parvalbumin,pv2,as,10.131087,5.5847607,2,as
126,parvalbumin,pv2,as,10.393241,5.770477,2,as
127,parvalbumin,pv2,as,11.379785,4.7679205,2,as
128,parvalbumin,pv2,as,8.787075,4.668358,2,as
129,parvalbumin,pv2,as,11.323297,4.8317122,2,as
130,parvalbumin,pv2,as,11.276386,4.7423186,2,as
131,parvalbumin,pv2,as,12.0089035,4.2026896,2,as
132,parvalbumin,pv2,as,11.36793,4.1638207,2,as
133,parvalbumin,pv2,as,7.815633,4.513928,2,as
134,parvalbumin,pv2,as,11.39304,3.8894725,2,as
135,parvalbumin,pv2,as,12.034015,4.05673,2,as
136,parvalbumin,pv2,as,11.825499,3.7273142,2,as
137,parvalbumin,pv2,as,11.43612,3.5681696,2,as
138,parvalbumin,pv2,as,12.0477495,4.1561193,2,as
139,parvalbumin,pv2,as,12.0614395,4.133771,2,as
140,parvalbumin,pv2,as,12.0825205,4.068503,2,as
141,parvalbumin,pv2,as,12.066131,4.1578207,2,as
142,parvalbumin,pv2,as,11.481912,3.4768171,2,as
143,parvalbumin,pv2,as,11.487548,3.5036988,2,as
144,parvalbumin,pv2,as,11.579414,3.4438736,2,as
145,parvalbumin,pv2,as,8.175374,4.331395,2,as
146,parvalbumin,pv2,as,11.473808,3.3343174,2,as
147,parvalbumin,pv2,as,11.544306,3.3851058,2,as
148,parvalbumin,pv2,as,11.584457,3.3646214,2,as
149,parvalbumin,pv2,as,11.586619,3.3726969,2,as
150,parvalbumin,pv2,as,11.488373,3.3841228,2,as
1,parvalbumin,pv3,as,-1.4088447,8.393614,3,as
2,parvalbumin,pv3,as,-1.3286234,8.371674,3,as
3,parvalbumin,pv3,as,-1.493422,8.464929,3,as
4,parvalbumin,pv3,as,-1.4787576,8.403202,3,as
5,parvalbumin,pv3,as,-1.5285544,8.470591,3,as
6,parvalbumin,pv3,as,-1.5261974,8.50826,3,as
7,parvalbumin,pv3,as,-1.5704439,8.618018,3,as
8,parvalbumin,pv3,as,-1.5303757,8.509851,3,as
9,parvalbumin,pv3,as,-1.3506789,8.516943,3,as
10,parvalbumin,pv3,as,-1.2809465,8.632539,3,as
11,parvalbumin,pv3,as,-1.5391475,8.729927,3,as
12,parvalbumin,pv3,as,-1.5518956,8.85527,3,as
13,parvalbumin,pv3,as,-1.3881234,8.773313,3,as
14,parvalbumin,pv3,as,-1.5943223,8.648701,3,as
